Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Vendr,—,251-500,"Vendr is the leading SaaS buying and management platform that helps companies find the right software, buy it at a fair price, and manage it effortlessly. As the SaaS buying category creator with the largest data set, Finance and Procurement teams have the ability to tap into Vendr for any part of the purchasing process, from searching for new tools, to negotiating back and forth, to catching up on upcoming renewals. The company was founded in 2019 and is based in Boston, Massachusetts. Recently raised $150M Series B and acquired SaaS management platform, Blissfully, to expand our capabilities for our customers.","Boston, Massachusetts, United States",Jan 2019,"Information Technology, Logistics,,","Vendr is the leading SaaS buying & management platform that helps companies find, buy, and manage their stack, money-back guaranteed.","Jun 16, 2022",Series B,"$150,000,000","F-Prime Capital, Y Combinator,,,",—,—,"Greater Boston Area, East Coast,"
Sure,Yes,101-250,"Sure, an insurance technology company, powers digital insurance programs for the world's most recognized brands and carriers. Its enterprise SaaS Platform and APIs accelerate digital transformation and embedded insurance distribution without the need for additional IT resources. Sure streamlines all aspects of digital insurance sales and service with features designed for each phase of the insurance lifecycle.","New York, New York, United States","Oct 1, 2015","Financial Services, FinTech, Insurance,",Sure is an embedded insurance technology company that powers API-based digital insurance programs for global brands and insurance carriers.,"Oct 5, 2021",Series C,"$100,000,000","Menlo Ventures, ff Venture Capital,,,",$1M to $10M,—,"Greater New York Area, East Coast,"
JUUL,—,1001-5000,"JUUL is an electronics company that specializes in improving alternatives for adult smokers and has launched a nicotine vaporizer in US. The company is a simply satisfying alternative for adult smokers. JUUL Labs’ mission is to eliminate combustible cigarettes. The company was founded to provide the 1 billion smokers worldwide a true alternative to cigarettes that enables them to permanently switch. Its research indicates hundreds of thousands of smokers have already switched to JUUL, and they are working to enable millions more to switch in the coming years. The company is headquartered in San Francisco, California, United States.","San Francisco, California, United States",2015,"B2C, Consumer Electronics, Consumer Goods,,",JUUL is a manufacturer and distributor of electronic nicotine vaporizers.,"Nov 10, 2022",Venture - Series Unknown,—,"Fidelity, Tiger Global Management,,,",$1M to $10M,—,"San Francisco Bay Area, West Coast,"
AptDeco,—,1-10,"AptDeco is an online marketplace for buying and selling quality preowned furniture. AptDeco offers a complete end-to-end process to bring back the joy of discovering amazing furniture finds again. With a trusted and verified community of buyers and sellers, pre-arranged pick up and delivery and a secure payment process you can finally sit back, relax and enjoy your finds while they take care of those pesky details in the background!","New York, New York, United States",2012,"E-Commerce, Furniture, Marketplace",AptDeco is a peer to peer marketplace for buying and selling furniture.,"Mar 20, 2023",Venture - Series Unknown,"$6,150,000","Y Combinator, FJ Labs, Fabrice Grinda,,",$10M to $50M,"Black / African American Founded,,,","Greater New York Area, East Coast,"
Sequoia Capital,—,501-1000,"Sequoia is a venture capital focused on energy, financial, enterprise, healthcare, internet, and mobile startups. The firm helps a small number of daring founders build legendary companies. Its spurs them to push the boundaries of what’s possible. The firm seeks to invest in all sectors with a focus on energy, financials and financial services, healthcare and healthcare services, Internet, mobile, outsourcing, and technology. The company was founded by Don Valentine in November 1972 and is based in Menlo Park, California.","Menlo Park, California, United States","Nov 1, 1972","Business Development, Finance,,","Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.",—,—,—,—,—,—,"San Francisco Bay Area, Silicon Valley,"
Credit Karma,—,1001-5000,"Credit Karma is a personal finance company that's focused on helping everyone make financial progress. Whether they're interested in getting a better deal on a loan, looking for ways to save, or simply monitoring their credit, Credit Karma offers a range of tools and personalized recommendations designed to help them make the most of their money. With more than 100 million members, Credit Karma helps people gain insight into their finances and credit information – and ultimately, improve their financial standing. Credit Karma was established in 2007 and is based in San Francisco, California.","San Francisco, California, United States",2007,"Credit, Finance, Financial Services,,",Credit Karma offers a range of tools and personalized recommendations designed to help customers make the most of their money.,"Mar 28, 2018",Secondary Market,"$500,000,000","500 Global, Silver Lake, Tiger Global Management,,",$100M to $500M,Women Founded,"San Francisco Bay Area, West Coast,"
Talos,—,51-100,"Talos Trading is an institutional technology infrastructure provider that connects all crypto ecosystem participants to support a full trading lifecycle. Talos Trading is based in New York, NY and was co-founded by Anton Katz and Ethan Feldman in 2018.","New York, New York, United States",2018,"Cryptocurrency, Financial Services,,","Talos is an end-to-end crypto trading platform that provides digital asset trading technology for lenders, brokers, and investors.","May 10, 2022",Series B,"$105,000,000","Citi, Voyager, Andreessen Horowitz,,",$1M to $10M,—,"Greater New York Area, East Coast,"
Wemade,—,101-250,"WeMade Games is dedicated to serving gamers with a portfolio of entertaining, high-quality PC and Mobile games. Established in 2000, WeMade Entertainment Co., Ltd. (KOSDAQ: 112040) is an international game developer publisher that has grown from a handful of passionate game pioneers to a group of over 1,000 game enthusiasts. Starting with its first and hit title ""Legend of Mir 2"", which has garnered over 200 million online PC gamers internationally, WeMade Entertainment has continued to develop and service dozens of PC and Mobile based games for fun-loving gamers since its inception.","Seongnam, Kyonggi-do, South Korea","Feb 10, 2000","Gaming, Media and Entertainment,,",Wemade is an online game company that develops PC and mobile games.,"Nov 2, 2022",Venture - Series Unknown,"₩66,000,000,000","Microsoft, Shinhan Asset Management,",—,—,Asia-Pacific (APAC)
Opendoor,—,501-1000,"Opendoor is an operator of an online real estate marketplace used to streamline the sales process of home buying and selling. It helps sellers to receive an offer without listing or showing their home and buyers to browse for homes on sale and instantly unlock them using the company's application that enables customers to buy and sell properties in a hassle freeway. Opendoor was founded in 2014 and is based in San Francisco, California.","San Francisco, California, United States",2014,"Marketplace, Property Development,,",Opendoor is an operator of an online real estate marketplace used to streamline the sales process of home buying and selling.,"Dec 21, 2020",Post-IPO Equity,"$400,000,000","Andreessen Horowitz, Y Combinator,,,",$1B to $10B,—,"San Francisco Bay Area, West Coast,"
Carmoola,—,1-10,"A game changing way to pay for your next car in minutes! Take control of your car finance through the Carmoola app. No hidden fees or broker commissions. Get the wheels you've been waiting for. Manage your finance and spread the cost of your ride with a plan that suits you. 24/7 support, no call centres, no faff.","London, England, United Kingdom","Jan 1, 2021","Financial Services, FinTech","Cruise through car finance. Get a budget in 60 seconds, buy your car from anywhere, buckle up and hit the road.","Feb 22, 2023",Debt Financing,"£95,000,000","VentureFriends, QED Investors,,,",Less than $1M,—,—
