Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Zoox,Yes,1001-5000,"Zoox is a California based robotics company founded by Tim Kentley-Klay and Dr. Jesse Levinson to create autonomous mobility. Operating at the intersection of design, computer science, and electro-mechanical engineering, Zoox is a multidisciplinary team working to imagine and build an advanced mobility experience that will support the future needs of urban mobility for both people and the environment.","Foster City, California, United States","Jul 29, 2014","Autonomous Vehicles, Machine Learning,,",Zoox is an AI robotics company that provides mobility as-a-service and self-driving car services.,"Oct 21, 2019",Convertible Note,"$200,000,000","Blackbird Ventures, Lux Capital,,,",$100M to $500M,"Black / African American Led,","San Francisco Bay Area, Silicon Valley,"
Hex Technologies,—,101-250,"Hex is the platform for collaborative data science and analytics. It's all about empowering individuals to learn things, and organizations to know things, so they can make better decisions. Hex brings together SQL, Python, R, and no-code in powerful notebooks, and allows users to 1-click publish projects as interactive data apps that anyone can use. The company was founded in 2019 and is based in San Francisco, California.","San Francisco, California, United States","Oct 12, 2019","Analytics, Big Data, Business Intelligence,",Hex Technologies is a software platform for collaborative data science and analytics.,"Mar 23, 2023",Venture - Series Unknown,"$28,000,000","Sequoia Capital, Andreessen Horowitz,,,",—,—,"San Francisco Bay Area, West Coast,"
Livspace,—,1001-5000,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products. The online shopping platform is a destination to find design, decorate, and furnish dream houses so they can undertake renovations like kitchen upgrades or repainting a room. It also provides end-to-end home interior services. In 2016, Livspace launched Canvas, its proprietary design-to-installation platform, a first for the interior design industry that aims to create a unique experience for homeowners and scales the job of interior designers. The décor startup is backed by Goldman Sachs, TPG Growth, Jungle Ventures, Bessemer Ventures, Helion Venture Partners, and Trifecta Capital Advisors. It was founded in 2014 by Anuj Srivastava and Ramakant Sharma.","Bengaluru, Karnataka, India",2014,"E-Commerce, Furniture, Interior Design","Livspace is an home interiors and improvement that connects people to designers, services, and products.","Feb 7, 2022",Series F,"₹13,430,000,000","Goldman Sachs, Square, Bessemer Venture Partners,,",—,—,Asia-Pacific (APAC)
DraftKings,—,1001-5000,"DraftKings provides online daily and weekly fantasy sports contests for cash prizes in major sports in the United States and Canada. It offers daily leagues for fantasy football, baseball, basketball, hockey, golf, college football, and college basketball. The company's Sportsbook offers mobile and retail betting for major U.S. and international sports and operates in the United States pursuant to regulations in Colorado, Indiana, Iowa, Mississippi, New Hampshire, New Jersey, New York, Pennsylvania, and West Virginia. DraftKings was founded in 2012 and is based in Boston, Massachusetts.","Boston, Massachusetts, United States",2012,"Fantasy Sports, Gaming, Online Games,",DraftKings provides online daily and weekly fantasy sports contests for cash prizes in major sports.,"Sep 2, 2020",Post-IPO Equity,—,"Major League Soccer, FirstMark,,,",$500M to $1B,—,"Greater Boston Area, East Coast,"
Brinc,—,51-100,"Headquartered in Hong Kong, Brinc is a leader in global venture acceleration, operating 18 multidisciplinary accelerator programs in 7 countries. Brinc accelerates startups focused on Internet of Things (IoT), blockchain technology, artificial intelligence, connected hardware, drones, robotics, clean energy and food technology all within a sustainability mandate. Brinc has a portfolio of 200+ companies with founders from over 35 countries. Brinc also supports corporations with investment services, distributed innovation strategies, sourcing of new startups and technologies, as well as venture building Web 3.0 enabled businesses. Global corporations (Manulife, Huawei, Schneider Electric, Puma, Batelco, Merck, Omantel, Linrun Group, Zhihui Park), Government Organizations (Hong Kong Science Park, NEOM, MBRIF, Guangdong Soft-tech Park), Universities (HK City University, National University of Singapore) and leading venture funds (Artesian, LeverVC, Tamkeen, EDB) have all run programs with Brinc over the years. In 2021 Brinc launched BrincArtesian, a Singapore fund manager, to provide LPs access to emerging market Series A+ co-investment opportunities.","Central, Hong Kong Island, Hong Kong",2014,"Artificial Intelligence, Blockchain,,,,","Brinc is a leader in global venture acceleration, operating 18 multidisciplinary accelerator programs in 7 countries.","Dec 14, 2021",Series B,"$30,000,000","Animoca Brands, Artesian VC,",$1M to $10M,—,Asia-Pacific (APAC)
Lunaphore,Yes,51-100,"Lunaphore offers solutions based on a chip technology that can extract spatial proteomic and transcriptome data from tumors and other tissues, transforming any assay into multiplex spatial biology with an easy-to-use interface. Lunaphore enables immunology, immuno-oncology, and neurology researchers to push the boundaries of scientific discovery and therapeutic development. Lunaphore's technology identifies clinically relevant biomarker ""signatures"" to aid in the development of diagnostic tools and to streamline clinical trials, ultimately improving patient outcomes.","Lausanne, Vaud, Switzerland",2014,"Biotechnology, Health Care, Health Diagnostics,,",Lunaphore is a life sciences company that is creating technologies to enable spatial biology in all laboratories.,"Mar 23, 2023",Series D,"CHF30,000,000","PHC Holdings, Venture Kick, Foundation for Technological Innovation (FIT),,",$1M to $10M,—,—
Evotec,—,1001-5000,"Evotec is a drug discovery alliance and development partnership rapidly progressing innovative product approaches with pharmaceutical and biotechnology companies, academics, patient advocacy groups, and venture capitalists. Drug discovery solutions are provided in the form of fee-for-service work, integrated drug discovery alliances, development partnerships, licencing of innovative drug candidates, and consulting arrangements.","Hamburg, Hamburg, Germany",1993,"Biotechnology, Health Care, Pharmaceutical,",Evotec is a pharmaceutical company providing drug discovery solutions to pharmaceutical and biotechnology companies.,"Mar 24, 2023",Grant,"$6,600,000","European Investment Bank, Mubadala,,,",$100M to $500M,—,European Union (EU)
doctorly,Yes,51-100,"Doctorly is a health tech company that offers a cloud-based practice management platform for doctors. The company has a regulated, cloud powered, fully centralised, practice management platform for doctors, a fully connected health app for patients, and an integration platform for the wider industry to natively connect their tools and workflows directly with our doctors & patients. Doctorly is driven by a desire to make positive and meaningful changes to the healthcare industry internationally.","Berlin, Berlin, Germany",2018,"Health Care, Medical, mHealth,,",Doctorly is a health tech company that offers a cloud-based practice management platform for doctors.,"Feb 28, 2023",Series A,"€9,390,000","Google for Startups, Speedinvest,,,",—,—,European Union (EU)
Sierra Space,—,1001-5000,"Sierra Space (www.sierraspace.com) is a leading pureplay commercial space company at the forefront of innovation and the commercialization of space in the Orbital Age, building platforms in space to benefit life on Earth. With more than 30 years and 500 missions of space flight heritage, the company is enabling the future of space transportation with Dream Chaser®, the world’s only winged commercial spaceplane. Under construction at its Colorado headquarters and expected to launch in 2023 on the first of a series of NASA missions to the International Space Station, Dream Chaser can safely carry cargo - and eventually crew - to on-orbit destinations, returning to land on compatible commercial airport runways worldwide. Sierra Space is also building an array of in-space destinations for low-Earth orbit (LEO) commercialization including the LIFE™ habitat (Large Integrated Flexible Environment), a three-story commercial habitation and science platform designed for LEO. Both Dream Chaser and LIFE are central components to Orbital Reef, a mixed-use business park in LEO being developed by principal partners Sierra Space and Blue Origin, which is expected to be operational by the end of the decade.","Louisville, Colorado, United States",2021,"Aerospace, Space Travel, Transportation",Sierra Space is a commercial space transportation technology company.,"Nov 19, 2021",Series A,"$1,400,000,000","General Atlantic, Coatue, AE Industrial Partners,,",—,—,"Greater Denver Area, Western US"
Weights & Biases,—,101-250,"Weights & Biases offers performance visualization tools for machine learning. It helps companies turn deep learning research projects into deployed software by helping teams track their models, visualize model performance, and easily automate training and improving models. It was formed in 2018 by Chris Van Pelt, Lukas Biewald, and Shawn Lewis and is headquartered in San Francisco, California.","San Francisco, California, United States",Jul 2017,"Artificial Intelligence, Data Visualization,,,",Weights & Biases provides a developer-first MLOps platform that offers performance visualization tools for machine learning.,"May 17, 2022",Corporate Round,—,"NVIDIA, Gaingels, Insight Partners,,",—,—,"San Francisco Bay Area, West Coast,"
Freshtohome,—,501-1000,"Freshtohome is an online grocery store that sells a range of seafood and meat to its users. The website’s range of products include fish, poultry, mutton, steaks, and fillet. Fish consists of shell, freshwater, and marine. Furthermore, it enables suppliers to supply their seafood and meat to the website. Freshtohome was launched in 2015 by Shan Kadavil and is based in Bangalore.","Bangalore, Karnataka, India","Aug 1, 2015","E-Commerce, E-Commerce Platforms,,,","Freshtohome is an e-commerce platform for fresh and chemical-free chicken, meat, and seafood.","Feb 6, 2023",Series D,"₹8,613,000,000","Investcorp, Iron Pillar, Dallah Albaraka Holding,,",—,—,Asia-Pacific (APAC)
