Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Ant Group,—,5001-10000,"Ant Group aims to create the infrastructure and platform to support the digital transformation of the service industry. They strive to enable all consumers and small businesses to have equal access to financial and other services that are inclusive, green, and sustainable. Formally established in October 2014, Ant Group’s origins date to 2004 when Alipay was created in the nascent days of e-commerce to solve the trust issue between buyers and sellers in online transactions. Their innovative payment solution bridged the trust gap, facilitated online transactions, and underpinned the development of e-commerce in China. Having pioneered digital payments in China, Ant Group has since expanded its service offerings through technology and innovation to enable digital finance for consumers and businesses. Their technology enables participants in commercial activities, including consumers, businesses, and partners, to build and strengthen trust among each other. They believe their new technologies, including their blockchain solution that they call AntChain, will continue to strengthen the foundation of trust in this digital era.","Hangzhou, Zhejiang, China",Oct 2014,"Banking, Financial Services, FinTech,",Ant Group strives to enable all consumers and small businesses to have equal access to financial and other services through technology.,"Nov 1, 2022",Debt Financing,"$6,500,000,000","Credit Suisse, Silver Lake, Sequoia Capital,,",$1B to $10B,—,Asia-Pacific (APAC)
Triplebyte,—,51-100,Triplebyte is a recruiting and technical screening platform for tech companies. They believe the current technical hiring process doesn't do enough to help engineers show their strengths. They're dedicated to building a better process. You can read more about their views on hiring in their manifesto.,"San Francisco, California, United States",2015,"Human Resources, Internet, Recruiting,",Triplebyte is a recruiting and technical screening platform for tech companies.,"Apr 11, 2019",Series B,"$35,000,000","Y Combinator, Caffeinated Capital,,,",$1M to $10M,—,"San Francisco Bay Area, West Coast,"
inDrive,—,1001-5000,"inDrive is a global mobility and urban services platform headquartered in Mountain View, California, USA. With over 150 million downloads, the inDrive app is the world's second most downloaded mobility application. In addition to ride-hailing, inDrive provides an expanding list of urban services, including intercity transportation, freight delivery, task assistance, courier delivery and employment search. inDrive operates in more than 700 cities across 47 countries. It supports local communities via its peer-to-peer payment model and community empowerment programs, which help advance education, sports, arts and sciences, gender equality and other vital initiatives. For more information visit www.inDrive.com","Mountain View, California, United States",2012,"Apps, Mobile Apps, Rental, Ride Sharing,","inDrive is a global mobility and urban services platform headquartered in Mountain View, California, USA.","Feb 20, 2023",Debt Financing,"$150,000,000","General Catalyst, Insight Partners,,",—,—,"San Francisco Bay Area, Silicon Valley,"
One Medical,—,1001-5000,"One Medical is a members-only technology platform offering an array of concierge medical services. The integration of these elements allows them to offer a seamless experience that not only saves their patients time and money but also leads to better health outcomes and happier lives. The company attracts the highest caliber team of health care providers, allowing them to practice medicine the way it should be. Each of their professionals has the time to invest in personal relationships and engage in thoughtful decision-making with their patients. One Medical makes access to care frictionless with face-to-face virtual video visits available anytime. It allows practicing medicine the way it should be practiced, focusing on improving the patient experience, and challenging the healthcare status quo. One Medical was founded in 2007 and is headquartered in San Francisco, California, United States.","San Francisco, California, United States",2007,"Health Care, Information Technology,,",One Medical is a members-only technology platform offering an array of concierge medical services.,"Aug 22, 2018",Private Equity,"$220,000,000","The Carlyle Group, Google Ventures,,,",$50M to $100M,—,"San Francisco Bay Area, West Coast,"
Poshmark,—,501-1000,"Poshmark is a leading social marketplace for new and secondhand style for women, men, kids, pets, home, and more. By combining the human connection of physical shopping with the scale, ease, and selection benefits of ecommerce, Poshmark makes buying and selling simple, social, and sustainable. Its community of more than 80 million registered users across the U.S., Canada, Australia, and India, is driving the future of commerce while promoting more sustainable consumption.","Redwood City, California, United States","Feb 1, 2011","E-Commerce, Fashion, Marketplace,","Poshmark is a social marketplace for fashion where anyone can buy, sell, and share their style with others.","Dec 29, 2020",Venture - Series Unknown,—,"AngelList Talent, Temasek Holdings,,,",$100M to $500M,Women Founded,"San Francisco Bay Area, Silicon Valley,"
NxtWave,—,11-50,"NxtWave is an upskilling platform that offers training programs and helps learners secure jobs. With NxtWave's Continuous Career Building Programs 4.0 (CCBP 4.0), anyone can build 4.0 skills and get high-paid jobs centered around 4.0 technologies like AI, ML, full-stack development, cybersecurity, IoT, VR/AR, blockchain, and more. By accelerating the development of people's business-relevant abilities, the company hopes to close the gap between industry and academics.","Hyderabad, Andhra Pradesh, India","Apr 21, 2020","Career Planning, EdTech, Education,,",NxtWave is a training platform that helps people rapidly build industry-relevant skills.,"Feb 20, 2023",Series A,"$33,000,000","Better Capital, Orios Venture Partners,,,",—,—,Asia-Pacific (APAC)
RAAHO,—,101-250,"RAAHO is a trucking marketplace that offers digital payments, tracking of freight-loaded vehicles, and vehicle verification. Raaho provides on-demand trucking services through applications developed in-house with an aim to create operational and cost efficiencies for the Indian trucking industry. Its services include real-time tracking of freight-loaded vehicles, instant digital payments, and vehicle verification. With a trustworthy connected trucking world, Raaho is revolutionizing the offline, opaque, and fragmented transportation sector. The business uses its nationwide network of truckers to move freight, saving shippers money, boosting driver income, and lowering its carbon footprint.","Gurgaon, Haryana, India",2015,"Freight Service, Logistics, Marketplace,",RAAHO is a trucking marketplace tracking of freight-loaded vehicles by connecting shippers with truckers.,"Mar 13, 2023",Seed,"₹200,000,000","Aseem Khurana, K Krishna Kumar,,,",—,—,Asia-Pacific (APAC)
Emperia,—,11-50,"The Emperia platform powers the creation and management of immersive virtual experiences for brands across multiple retail sectors. The platform marries the reach and accessibility of e-commerce with the impact of physical customer service shopping experience, while leveraging the unique traits of the virtual space; adding a layer of customer engagement, personalization, data monitoring and omnichannel cohesion. London and New York-based, the Emperia team consists of 3D environment engineers and technical artists joined by fashion and art industry veterans and branding experts. Hailed a virtual reality pioneer by Forbes Magazine, Emperia is working with some of the world’s leading names in art, fashion and retail including Dior, Burberry, Bloomingdale's, Harrods, Giorgio Armani, Lacoste, Dom Pérignon, Christie’s, Getty Images and more. Emperia has been named one of the most promising advertising and marketing tech startups of 2022 by BusinessInsider, is a proud British Fashion Council Patron and the winner of the Plug & Play Brand & Retail Europe Start-Up Award.","London, England, United Kingdom","May 20, 2019","E-Commerce, Marketing, Retail,,,",Powering the creation and management of immersive virtual experiences for retailers,"Jan 25, 2023",Series A,"$10,000,000","Sony Innovation Fund, Concept Ventures,,,",—,—,—
Yandex,—,10001+,"Yandex is a multinational technology company that provides internet-related services and operates a search engine platform in Russia. It is one of the largest internet companies in Europe, operating Russia’s most popular search engine and its most visited website. According to LiveInternet, for the three months ended September 30, 2015, they generated 57.1% of all search traffic in Russia. They also operate in Ukraine, Kazakhstan, Belarus, and Turkey.","Moscow, Moscow City, Russian Federation","Sep 23, 1997","Big Data, Developer Tools, Email,,,,",Yandex is a multinational technology company that provides internet-related services and operates a search engine platform in Russia.,"Jun 25, 2020",Post-IPO Equity,"$1,000,000,000","International Finance Corporation,,,,",$1B to $10B,—,—
Nearpod,—,251-500,"Nearpod is an all-in-one solution for the synchronized use of iPads in the classroom that makes lectures more engaging through interactive multimedia presentations. With Nearpod, teachers can create mobile presentations, engage students in class, and assess them in real time. The fast adoption of tablet computing and mobile devices is having a profound impact on education. Nearpod allows educators to very easily take their existing presentations, convert them into mobile-friendly content, and engage all students to convert them into active classroom participants. Teachers can deliver their existing content through mobile (iOS or Android) devices and get instant feedback from students through interactive features like polls, quizzes, drawing activities, and others.","Dania, Florida, United States",2012,"E-Learning, EdTech, Education,,,,","Nearpod is a provider of edtech platform for K-12 teachers to create interactive slides filled with videos, quizzes, and other activities.","Mar 1, 2017",Series B,"$21,000,000","Reach Capital, Insight Partners,,,",$10M to $50M,"Hispanic / Latine Founded, South Asian Led","Greater Miami Area, East Coast,"
Unstoppable Domains,—,101-250,"Unstoppable Domains launches domains secured by blockchains and builds uncensorable websites. The company offers NFT domains that give people control of their digital identity and its usernames can be used to log into more than 150 Web3 applications, shorten crypto wallet addresses, and build a decentralized Web3 identity.","San Francisco, California, United States",2018,"Blockchain, Domain Registrar,",Unstoppable Domains launches domains secured by blockchains and builds uncensorable websites.,"Jul 27, 2022",Series A,"$65,000,000","Protocol Labs, Gaingels, Polygon,,",—,—,"San Francisco Bay Area, West Coast,"
