Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Stability AI,—,51-100,"Stability AI is an AI-driven visual art startup that designs and implements an open AI tool to create images based on text input given. This tool executes text commands into images and other forms of media using collective intelligence and augmented technology to help clients develop cutting-edge open AI models for image, language, audio, video, 3D, and biology. The company was founded in 2019 and is headquartered in London, England.","London, England, United Kingdom",2019,"Artificial Intelligence, Image Recognition,,",Stability AI is an AI-driven visual art startup that designs and implements an open AI tool to create images based on text input given.,"Oct 12, 2022",Seed,"£89,000,000","Lightspeed Venture Partners, Coatue,,,",—,—,—
Lenovo,—,10001+,"Lenovo is one of the world's leading personal technology companies, producing innovative PCs and mobile internet devices. A global Fortune 500 company, Lenovo is the world's largest PC vendor and fourth largest smartphone company. While the Lenovo brand came into existence only in 2004, the company has a much longer history. In 1984, Legend Holdings was formed with 200,000 RMB (US$25,000) in a guard house in China. The company was incorporated in Hong Kong in 1988 and would grow to be the largest PC company in China. Legend Holdings changed its name to Lenovo in 2004 and, in 2005, acquired the former Personal Computer Division of IBM, the company that invented the PC industry in 1981. Today, Lenovo is a US$39billion personal technology company with more than 54,000 employees (including joint ventures) in more than 60 countries serving customers in more than 160 countries. Lenovo is a global company that is incorporated and headquartered in Hong Kong, with operational centers located strategically around the world , with the largest in Beijing and Morrisville, NC. These operational centers drive Lenovo’s global and local business approach. Lenovo has grown faster than the market for more than four years because our exceptionally engineered products are meant for those who do. Our customers use innovation to bring progress to the world, and we design and build our products with this in mind, taking inspiration from the drive and imagination of the people who make things happen. Our technology helps those who do, do better. Whether a PC, smartphone, tablet, smart TV, server, workstation or storage, Lenovo makes the products that customers need for what we call the ""PC+ world."" Lenovo is creating real differentiation from the competition thanks to its vertically integrated end-to-end business model. This model is unique among major PC makers and is a significant source of competitive advantage, helping us to bring more innovation to market, more efficiently, and aggressively attack the PC+ opportunity. And as Lenovo expands globally, we are establishing even deeper roots in each major market, investing not only in sales and distribution, but also in local domestic manufacturing, R&D and other high-value functions. This global reach with local excellence is enabling us to build a new kind of company - a ""global-local"" company - and positions us to more deeply implement our protect and attack strategy and build the foundation for long-term success.","Beijing, Beijing, China",1984,"Computer, Electronics, Hardware,","Lenovo Group is a computer technology company that manufactures personal computers, smartphones, televisions, and wearable devices.","Oct 3, 2017",Post-IPO Equity,"$500,000,000","TPG, General Atlantic, The Parent Company,,",$10B+,—,Asia-Pacific (APAC)
Silvergate Bank,—,101-250,"Silvergate Capital Corporation (NYSE: SI) is the leading provider of innovative financial infrastructure solutions and services for the growing digital currency industry. The Company’s real-time payments platform, known as the Silvergate Exchange Network, is at the heart of its customer-centric suite of payments, lending and funding solutions serving an expanding class of digital currency companies and investors around the world. Silvergate is enabling the rapid growth of digital currency markets and reshaping global commerce for a digital currency future.","La Jolla, California, United States",1988,"Banking, Finance, Financial Services",Silvergate Capital Corp is a financial infrastructure solutions and services company.,"Jan 20, 2021",Post-IPO Equity,"$287,500,000","Digital Currency Group, CMT Digital Ventures,",$50M to $100M,—,"Greater San Diego Area, West Coast,"
Intel,—,10001+,"Intel is building on its unrivaled history of innovation to power the future of computing and communications. Intel's ambitions? A world that runs on Intel. Intel is doing this by helping its customers find the technologies and solutions that allow them to transform their businesses and gain market advantage. And it all starts with data. Intel is on a journey from a PC-centric company to a data-centric company. Intel's unmatched depth of experience and scope of vision allows it to dream big, to create a world where Intel powers the future of computing and communications—including powerful processors and accelerators that unlock the full potential of data. Intel continuously delivers advances in performance, power, and connectivity across a diversity of data-centric workloads, so its customers can harness the raw power of data. Intel's innovations span architecture, memory, software, and security to help develop transformative products and experiences for its customers. Collectively, Intel's 107,000 employees worldwide are enabling amazing experiences in 5G, artificial intelligence, driverless cars, and much more.","Santa Clara, California, United States","Jul 18, 1968","Artificial Intelligence, Computer,,,,,,,","Intel designs, manufactures, and sells integrated digital technology platforms worldwide.","Feb 22, 2021",Post-IPO Equity,"$10,000,000","Venrock, Arthur Rock & Co, Max Palevsky",$10B+,—,"San Francisco Bay Area, Silicon Valley,"
GitHub,—,1001-5000,"GitHub provides code hosting services that allow developers/people to build software for open source and private projects in organizations. It designs and develops an online platform to allows users to store and share codes repositories with friends, co-workers, classmates, and complete strangers. GitHub has a strategic partnership with International Business Machines Corporation. It was founded on February 29, 2008, by Chris Wanstrath, PJ Hyett, and Tom Preston-Werner, with its headquarters in San Francisco in California.","San Francisco, California, United States","Feb 29, 2008","Cloud Computing, Developer Tools,,,",GitHub provides code hosting services that allow developers to build software for open-source and private projects in organizations.,"Jul 28, 2016",Series B,—,"Sequoia Capital, Andreessen Horowitz,,,",$100M to $500M,—,"San Francisco Bay Area, West Coast,"
Google,—,10001+,"Google is a multinational technology company focusing on search engine technology, online advertising, cloud computing, computer software, quantum computing, e-commerce, artificial intelligence, and consumer electronics. Their products address a wide range of use cases, including email, navigation, cloud computing, web browsing, video sharing, productivity, operating systems, cloud storage, language translation, photo storage, video calling, smart home, smartphones, wearable technology, music streaming, and more.","Mountain View, California, United States",1998,"Advertising, Collaboration, Enterprise Software,,",Google is a multinational corporation that specializes in Internet-related services and products.,"Jun 7, 1999",Series A,"$25,000,000","Sequoia Capital, Kleiner Perkins,,,",$10B+,—,"San Francisco Bay Area, Silicon Valley,"
Tencent,—,10001+,"Tencent is an internet service portal offering value-added internet, mobile, telecom, and online advertising services. Its communications and social platforms Weixin and QQ connect users with each other, with digital content and daily life services in just a few clicks. Tencent has maintained steady growth under its user-oriented operating strategies. It provides value-added internet, mobile, and telecom services, as well as online advertising under the strategic goal of providing users with ""one-stop online lifestyle services."" Tencent’s Internet platforms in China – QQ (QQ Instant Messenger), WeChat, QQ.com, QQ Games, Qzone, 3g.QQ.com, SoSo, PaiPai, and Tenpay – aim to address the various needs of internet users, including communication, information, entertainment, e-commerce, and others. In September 2013, Tencent's market valuation rose to $101 billion, and as of November 21, 2013, QQ had 2 billion active users and WeChat had 650 million monthly active users. The numbers of active users for QQ mail, Qzone, Tencent Weibo, and QQ news were 274 million, 626 million, 220 million, and 150 million, respectively. Tencent was founded in November of 1998. In April 2000, the IDG and PCCW invested a total of $2.2 million dollars in the company. Tencent was listed on the Hong Kong Stock Exchange (SEHK) on June 16, 2004. Baidu, Alibaba, and Netease are Tencent's major competitors.","Shenzhen, Guangdong, China","Nov 1, 1998","Advertising, Internet, Online Games,,","Tencent is an internet service portal offering value-added internet, mobile, telecom, and online advertising services.","May 29, 2020",Post-IPO Debt,"$6,000,000,000","IDG Capital, Lippo Group, PCCW,",$10B+,—,Asia-Pacific (APAC)
OurCrowd,—,101-250,"OurCrowd is a venture investing platform that enables institutions and individuals to invest and engage in emerging companies. OurCrowd was started in 2013, driven by the idea that the business of building startups grows bigger and better when the global 'crowd' gains access to VC-level investment opportunities.","Jerusalem, Yerushalayim, Israel","Feb 1, 2013","Angel Investment, Crowdfunding,,,",OurCrowd is a venture investing platform that enables institutions and individuals to invest and engage in emerging companies.,"Oct 27, 2021",Private Equity,"$25,000,000","United Overseas Bank, SoftBank Vision Fund,,,",$50M to $100M,—,—
Skydio,Yes,501-1000,"Skydio is a drone manufacturer that uses artificial intelligence to create flying drones that are used by consumers, enterprises, and government customers. It develops AI-powered drones to deliver the power and flying cameras without the complexity. The company's drones use an array of cameras and proprietary computer vision technology to recognize, avoid objects in real-time, and predict into the future to make intelligent decisions, enabling users by flying themselves through the most demanding tasks or keeping them safe from obstacles when they want to take control. The company's debut drone, the R1, could track a target and film them while avoiding obstacles without any human intervention required. Then the company released the Skydio 2 in 2019, its second drone, cutting off more than half the price while improving it its autonomous tracking and video capabilities. Its flagship product, the X2, is equipped with seven cameras, 100x zoom, night vision, and promises to turn ordinary users into expert pilots thanks to its self-piloting abilities. It is backed by top investors and strategic partners including Andreessen Horowitz, Linse Capital, Next47, IVP, Playground, NVIDIA, and UP.Partners. Abraham Bachrach, Adam Bry, and Matt Donahoe founded Klarna in Redwood City, California in 2014.","Redwood City, California, United States",2014,"Artificial Intelligence, Drone Management,,,","Skydio uses artificial intelligence to create flying drones that are used by consumer, enterprise, and government customers.","Feb 27, 2023",Series E,"$230,000,000","NVIDIA, Axon, Hercules Capital,,",—,—,"San Francisco Bay Area, Silicon Valley,"
Block,—,5001-10000,"Block builds tools to help expand access to the economy. Global technology company Block specializes in financial services. It consists of Square, Cash App, Spiral, TIDAL, and TBD, creating solutions to increase access to the economy.","San Francisco, California, United States",2009,"Business Development, Finance,,",Block builds tools to help expand access to the economy.,"Sep 14, 2014",Series E,"$150,000,000",Cota Capital,—,—,"San Francisco Bay Area, West Coast,"
Strangeworks,—,11-50,Strangeworks makes the power of quantum computing accessible to everyone all in one place. Learn more at http://quantumcomputing.com,"Austin, Texas, United States",2018,"Quantum Computing, Software",Strangeworks makes the power of quantum computing accessible to everyone all in one place. Learn more at http://quantumcomputing.com,"Mar 21, 2023",Series A,"$24,000,000","Lightspeed Venture Partners, IBM,,,",—,"Hispanic / Latine Founded, Hispanic / Latine Led",Southern US
Cohere,—,101-250,"Cohere is a platform that gives developers and businesses access to NLP, powered by the latest generation of large language models. Cohere is used for building machines that understand the world and make them safely accessible to all. Cohere provides access to affordable, easy-to-deploy large language models. Its platform gives computers the ability to read and write - whether to better understand what customers are saying, or to write compelling copy that speaks to a target audience, Cohere can help.","Toronto, Ontario, Canada",2019,"Artificial Intelligence, Natural Language Processing,",Cohere offers an API to add language processing to any system.,"Mar 7, 2023",Venture - Series Unknown,—,"Tiger Global Management, Salesforce Ventures,,,",—,—,Great Lakes
HealthPlix,—,251-500,"HealthPlix pioneered the digitization of healthcare through its future-ready AI-powered EMR platform for doctors in India. The start-up currently empowers 10K+ doctors to drive better health outcomes for their patients by providing clinical decision support at the point of care. More than 22 million patients have been treated using the HealthPlix EMR platform by doctors across 16 specialties. HealthPlix's doctor base and network span across 370+ cities in India, making it the trusted EMR platform for doctors in the country.","Bangalore, Karnataka, India",2014,"Artificial Intelligence, Health Care,,",HealthPlix is a digital health platform that uses AI technologies to support clinical decisions.,"Mar 15, 2023",Series C,"$20,000,000","BlackSoil, Lightspeed Venture Partners,,,",$1M to $10M,—,Asia-Pacific (APAC)
Rapid7,—,1001-5000,"Rapid7 provides security data and analytics solutions enabling organizations to implement an active approach to cybersecurity. The company's IT security solutions deliver visibility and insight that help to make informed decisions, create credible action plans, and monitor progress. Their services include detection and response, vulnerability management, application security, security advisory services, product consulting, penetration services, IoT security testing, and more.","Boston, Massachusetts, United States",2000,"Analytics, Cyber Security, Enterprise Software,,",Rapid7 unites cloud risk management and threat detection to deliver results that secure businesses.,"Dec 17, 2014",Series D,"$30,000,000","Bain Capital Ventures, TCV",$500M to $1B,Black / African American Led,"Greater Boston Area, East Coast,"
SpaceX,—,5001-10000,"Space Exploration Technologies is a space-transportation startup company founded by Elon Musk. SpaceX designs, manufactures, and launches advanced rockets and spacecraft. SpaceX develops crew and cargo capsules, engines, cryogenic tank structures, avionics, equipment, guidance, and control software. The company is developing the partially reusable launch vehicles Falcon 1 and Falcon 9. Founded in 2002, Space Exploration Technologies is headquartered in Hawthorne, California.","Hawthorne, California, United States","May 6, 2002","Advanced Materials, Aerospace,,,",SpaceX is an aviation and aerospace company that focuses on reducing costs associated with space travel.,"Mar 23, 2023",Grant,—,"Google, NASA, Sequoia Capital,,",$1B to $10B,—,"Greater Los Angeles Area, West Coast,"
Rain,—,251-500,"Rain is a fast-growing early wage access and financial wellness benefit vendor globally. With operations in the U.S., Brazil, and India, Rain provides a voluntary employee benefit that is free for employers to implement. Rain integrates with payroll and timekeeping vendors to create a seamless process with almost zero work for the employer. Through Rain, not only can employees access their pay any day of the week (instead of waiting the traditional two weeks for payday), but they can also take advantage of a free pay card, the ability to instantly access tips after a shift, and other financial wellness tools such as a credit score builder and financial literacy materials. Rain also can offer deep discounts on dozens of other voluntary benefits such as prescriptions and dental care. Employers win by having one of the leading employee benefits that workers are asking for and by seeing reductions in turnover and increases in job applications.","Santa Monica, California, United States",Jul 2019,"Employee Benefits, Financial Services,,",Rain offers early wage access and financial wellness benefit for mid-market to enterprise employers.,"Mar 21, 2023",Series A,"$66,000,000","Tribe Capital, Vijay Shankar, QED Investors,,",—,Women Founded,"Greater Los Angeles Area, West Coast,"
Amogy,—,101-250,"Amogy is a sustainable energy start-up that is working on a novel carbon-free energy system using ammonia as a renewable fuel. The innovative solution enables the decarbonization of ground, sea, and air transportation, accelerating the journey towards net zero economies.","Brooklyn, New York, United States","Nov 18, 2020","Clean Energy, CleanTech, Energy,,",Amogy offers an innovative clean energy system using ammonia as a renewable fuel.,"Mar 22, 2023",Series B,"$139,200,000","Yanmar Ventures, Amazon, DCVC,,",—,—,"Greater New York Area, East Coast,"
