Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Temporal Technologies,—,51-100,"Temporal Technologies is a computer software company that enables its users to build and operate resilient applications using developer-friendly primitives. It specializes in the fields of information technology, software development, and computer software. It was founded in 2019 and headquartered in Bellevue, Washington.","Bellevue, Washington, United States",2019,"Information Technology, Internet,,",Temporal Technologies enables its users to build and operate resilient applications using developer-friendly primitives.,"Feb 28, 2023",Series B,"$75,000,000","Sequoia Capital, Madrona, Kevin Mahaffey,,",—,—,"Greater Seattle Area, West Coast,"
Cyara,—,251-500,"Cyara the category creator, enables enterprises and solution providers to deliver flawless interactions through the most comprehensive platform that ensures the widest range of communications channels including voice, web, chatbot, video, and WebRTC.","Redwood City, California, United States","Mar 25, 2006","Customer Service, Enterprise Software,,","Cyara Customer Experience Assurance Platform. Cloud based 'Outside-in' test automation & monitoring for IVR, digital and omni-channel.","Jan 31, 2022",Private Equity,"$350,000,000","K1 Investment Management, LLC,,",—,—,"San Francisco Bay Area, Silicon Valley,"
Delivery Hero,—,10001+,"Delivery Hero is a worldwide network of online food ordering sites, operating in 21 countries and with over 73,000 restaurant partners. Delivery Hero operates in Germany, UK, Austria, South Korea, Sweden, Finland, Poland, Australia, Switzerland, China, India, Colombia, Mexico, Argentina, Chile, Uruguay, Brazil, Peru, Venezuela, Panama, and Puerto Rico. The Group has more than 1000 employees globally, with 400 working from its Berlin Headquarters. Delivery Hero has received $523 million in investment in 2014 alone with investors including Insight Venture Partners, Luxor Capital Group, Kite Ventures, Team Europe, ru-Net, Tengelmann Ventures, Point Nine Capital, Vostok Nafta, and Phenomen Ventures.","Berlin, Berlin, Germany",2011,"E-Commerce, Food Delivery, Internet,",Delivery Hero is a network of online food ordering sites with over 100 restaurant partners worldwide.,"Apr 4, 2022",Post-IPO Debt,"€1,400,000,000","Rocket Internet, General Atlantic,,,",$500M to $1B,—,European Union (EU)
Krafton,—,1001-5000,"Krafton is a game developer for PC and mobile devices that focuses on fantasy games. Krafton's vision is to stay a household name in video game development by keeping true to its core value ""craftmanship"". The ""KRAFTON"" is derived from its slogan ""keep the craftmanship on"" which represents their determination to create premier gameplay experiences.","Seongnam, Kyonggi-do, South Korea","Mar 1, 2007","Gaming, iOS, Mobile, Video Games",Krafton is a game developer for PC and mobile devices that focuses on fantasy games.,"Jun 13, 2018",Secondary Market,"$500,000,000","Tencent, Altos Ventures, IMM Investment,",$1B to $10B,—,Asia-Pacific (APAC)
Peek,—,101-250,"With nearly $2 billion in bookings of experiences, the Peek.com platform combines powerful business software with an award-winning marketplace for consumers to book fun things to do (think: wine tours, watersports, skydiving, and art classes). Peek Pro provides world-class online booking, point-of-sale, and hundreds of automation tools such as inventory management, dynamic pricing, waivers, and marketing analytics. Thousands of operators like Museum of Ice Cream, Artechouse, and Pennekamp State Park have supercharged their revenues and automated operations with this all-inclusive technology.","San Francisco, California, United States",2012,"Internet, Marketplace, Mobile,,,","Peek is a booking software and marketplace for delightful things to do such as wine tours, watersports, skydiving, and art classes.","Nov 23, 2021",Series C,"$80,000,000","Kleiner Perkins, Goldman Sachs Asset Management,,,",$1M to $10M,"Women Founded, Women Led","San Francisco Bay Area, West Coast,"
Generation Bio,—,101-250,"Generation Bio is an innovative genetic medicines company focused on creating a new class of gene therapy to provide durable, redosable treatments for patients suffering from both rare and prevalent diseases. The company’s non-viral platform incorporates a proprietary high-capacity DNA construct called closed-ended DNA, or ceDNA; a novel cell-targeted lipid nanoparticle delivery system, or ctLNP; and an established, scalable capsid-free manufacturing process. The company is designing therapies to provide targeted delivery of genetic payloads that include large and multiple genes across a broad array of tissues, and to be redosable for individualized and extended treatment throughout a patient’s life. The platform is designed to expand access to treatments for rare diseases and to address prevalent diseases through efficient, scalable manufacturing.","Cambridge, Massachusetts, United States",2016,"Biotechnology, Genetics, Health Care",Generation Bio is a biotechnology company that develops genetic medicines to treat genetic disorders.,"Mar 23, 2023",Post-IPO Equity,"$76,000,000","Moderna, T. Rowe Price, Fidelity,,",$10M to $50M,—,"Greater Boston Area, East Coast,"
Cognito Therapeutics,—,11-50,"Cognito Therapeutics is a clinical-stage neurotechnology business focused on creating disease-modifying pharmaceutical methods for the treatment of neurodegenerative illnesses. Li-Huei Tsai and Ed Boyden, MIT Professors, and scientific founders, created its non-invasive neuromodulation platform. The Company's primary therapy is now being studied in a pivotal study for Alzheimer's Disease and has been designated as a Breakthrough Device by the FDA.","Cambridge, Massachusetts, United States",2016,"Biotechnology, Health Care, Health Diagnostics,,",Cognito Therapeutics is a neurotechnology company that is developing disease-modifying treatments for CNS illnesses.,"Mar 22, 2023",Series B,"$73,000,000","FoundersX Ventures, IAG Capital Partners,,,",$1M to $10M,—,"Greater Boston Area, East Coast,"
Ample,—,101-250,"Ample utilizes autonomous robotics and smart-battery technology to solve the energy delivery challenge for electric transportation. It created an economical, rapidly deployable, and widely accessible platform that delivers a full charge to any electric car in minutes. The aim is to make it possible to have “Electric Cars for Everyone”. It was founded in 2014 and is based in San Francisco, California.","San Francisco, California, United States",2014,"Automotive, Electric Vehicle, Energy,,,",Ample utilizes autonomous robotics and smart-battery technology to solve energy delivery challenges for electric transportation.,"Feb 28, 2023",Grant,"$15,000,000","Blackstone Group, Shell Ventures,,,",$1M to $10M,—,"San Francisco Bay Area, West Coast,"
Coactive AI,—,11-50,"Coactive AI is a machine learning platform that unlocks analytics and insights from unstructured image and video data. Coactive AI brings unstructured data and assists analysts in making image and video data useful. Providing unprecedented insights, ease of use, and lightning-fast speeds.","San Jose, California, United States",2021,"Artificial Intelligence, Big Data,,",Coactive AI is a machine learning platform that unlocks analytics and insights from unstructured image and video data.,"Mar 21, 2023",Series A,"$10,400,000","Andreessen Horowitz, Bessemer Venture Partners,,,",—,—,"San Francisco Bay Area, Silicon Valley,"
Hadean,—,101-250,"Hadean are a venture backed startup, reimagining distributed, spatial and scalable computing for web 3.0 and the metaverse. The distributed cloud platform provides the foundations of web 3.0 applications for the metaverse and enterprise organisations alike. Bridging physical and virtual worlds, their technology enables unprecedented scale and fidelity in the digital realm to enhance and improve the physical one. Customers include CAE, Microsoft, Minecraft, the Francis Crick Institute, PixelMax and GamesCoin and BAE Systems. Visit: www.hadean.com","London, England, United Kingdom","Oct 3, 2015","Cloud Computing, Developer Tools,","Hadean are a venture backed startup, reimagining distributed, spatial and scalable computing for web 3.0 and the metaverse.","Mar 23, 2023",Series A,"£4,000,000","Alumni Ventures, Epic Games,,,",—,—,—
GetYourGuide,—,501-1000,"GetYourGuide operates an online platform for booking tours, attractions, and activities worldwide. It offers tourist services online via the Internet and mobile applications. The platform sells tours and excursions, activities including cooking classes and tickets to many tourist attractions. GetYourGuide runs a thriving and viral business curating, selling tickets for running walks and other exploration experiences for people touring different parts of the world. The business model for GetYourGuide stipulates that it does not offer its own tours or activities, but rather, acts as a mediator between customers and providers. The service is free for customers, but the provider of the tour has to pay GetYourGuide a percentage of its revenue. GetYourGuide, an online customer review system, enables potential customers to assess the quality of tour providers. Additionally, the platform removes providers who consistently get bad reviews from its inventory. Jochen Mattes, Johannes Reck, Martin Sieber, Pascal Mathis, Tao Tao, and Tobias Rein founded GetYourGuide on June 1, 2009. It has its headquarters in Berlin in Germany with additional offices in North America and Europe.","Berlin, Berlin, Germany",2009,"Consumer Reviews, E-Commerce,,,,","GetYourGuide operates an online platform for booking tours, attractions, and activities worldwide.","Feb 16, 2021",Debt Financing,"€80,000,000","Deutsche Bank, Citi, Silicon Valley Bank,,",$50M to $100M,—,European Union (EU)
monday.com,—,1001-5000,"The monday.com Work OS is an open platform that democratizes the power of software so organizations can easily build work management tools and software applications to fit their every need. The platform intuitively connects people to processes and systems, empowering teams to excel in every aspect of their work while creating an environment of transparency in business. monday.com has teams in Tel Aviv, New York, San Francisco, Miami, Chicago, London, Kiev, Warsaw, Sydney, São Paulo, and Tokyo. The platform is fully customizable to suit any business vertical and is currently used by over 152,000 customers across over 200 industries in 200 countries.","Tel Aviv, Tel Aviv, Israel","Feb 1, 2012","Collaboration, CRM, Developer Tools,,,,",monday.com is a work operating system where organizations of any size can create processes to manage every aspect of their work.,"Jun 10, 2021",Post-IPO Equity,"$150,000,000","Hamilton Lane, Zoom, Insight Partners,,",$100M to $500M,—,—
